,Train_RMSE,Test_RMSE,Train_MAE,Test_MAE,Train_R2,Test_R2,Train_MAPE,Test_MAPE
CatBoost,14725.856334970027,14139.5988016577,10743.563796730188,10425.875785360093,0.6914027510280382,0.699582907363319,26.60764607752697,25.331264422586607
LightGBM,13760.78003353977,14244.06923984544,9949.639887956215,10424.335234199636,0.7305258956263057,0.6951272437041017,26.227794983707795,25.09605500732672
XGBoost,13281.657727859125,14204.275412705852,9584.2783203125,10422.544921875,0.7489643096923828,0.696828305721283,19.655221827995017,26.443188695685794
