,Train_RMSE,Test_RMSE,Train_MAE,Test_MAE,Train_R2,Test_R2,Train_MAPE,Test_MAPE
Linear Regression,13316.622020950334,15298.229980718026,10080.284450086529,11641.453205542713,0.7476408374210173,0.6483320126774352,40.29504034697841,39.74327683542925
Decision Tree,13908.623298773111,15335.969321587121,10360.847101753425,11332.254321454933,0.7247044308835342,0.6465948067231181,27.610264424276952,28.39010715412703
Random Forest,13034.105717364153,14354.008091077163,9688.503034264417,10539.418500948299,0.7582350104297051,0.6904029325253916,23.357657974256746,26.9628720845784
Gradient Boosting,12686.25306901125,14394.828031996582,9462.109226611894,10712.474714653725,0.7709672050487982,0.6886395639216663,27.29185078105282,30.562227140630576
LightGBM,13760.78003353977,14244.06923984544,9949.639887956215,10424.335234199636,0.7305258956263057,0.6951272437041017,26.227794983707795,25.09605500732672
XGBoost,12627.914475478523,14269.151060942624,9144.17578125,10444.4755859375,0.7730687856674194,0.6940525770187378,18.501395845872366,26.338627441767322
CatBoost,14817.274063332046,14162.251595643953,10807.926942739194,10455.56725793157,0.6875593308269903,0.698619550776214,26.820141156367665,25.397990862644775
